time,(LX)
"37,650,001.00","49,502,210,000"
"37,700,001.00","49,489,370,000"
"37,750,001.00","49,495,980,000"
"37,800,001.00","49,492,620,000"
"37,850,001.00","49,485,910,000"
"37,900,001.00","49,485,810,000"
"37,950,001.00","49,488,870,000"
"38,000,001.00","49,492,130,000"
"38,050,001.00","49,486,990,000"
"38,100,001.00","49,491,140,000"
"38,150,001.00","49,491,440,000"
"38,200,001.00","49,494,700,000"
"38,250,001.00","49,487,090,000"
"38,300,001.00","49,484,530,000"
"38,350,001.00","49,490,350,000"
"38,400,001.00","49,502,210,000"
"38,450,001.00","49,497,370,000"
"38,500,001.00","49,495,190,000"
"38,550,001.00","49,495,880,000"
"38,600,001.00","49,490,350,000"
"38,650,001.00","49,492,230,000"
"38,700,001.00","49,489,370,000"
"38,750,001.00","49,495,090,000"
"38,800,001.00","49,492,820,000"
